Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
Shandong University of Science and Technology,Springfield,Illinois,62794,https://cpanel.net/ut/nunc/vestibulum/ante/ipsum/primis/in.aspx?lacinia=maecenas&eget=tincidunt&tincidunt=lacus&eget=at&tempus=velit&vel=vivamus&pede=vel&morbi=nulla&porttitor=eget&lorem=eros&id=elementum&ligula=pellentesque&suspendisse=quisque&ornare=porta&consequat=volutpat&lectus=erat&in=quisque&est=erat&risus=eros&auctor=viverra&sed=eget&tristique=congue&in=eget&tempus=semper&sit=rutrum&amet=nulla&sem=nunc&fusce=purus&consequat=phasellus&nulla=in&nisl=felis&nunc=donec&nisl=semper&duis=sapien&bibendum=a&felis=libero&sed=nam&interdum=dui&venenatis=proin&turpis=leo&enim=odio&blandit=porttitor&mi=id&in=consequat&porttitor=in&pede=consequat&justo=ut&eu=nulla&massa=sed&donec=accumsan&dapibus=felis&duis=ut&at=at&velit=dolor&eu=quis&est=odio&congue=consequat&elementum=varius&in=integer&hac=ac&habitasse=leo&platea=pellentesque&dictumst=ultrices&morbi=mattis&vestibulum=odio&velit=donec&id=vitae&pretium=nisi&iaculis=nam&diam=ultrices&erat=libero&fermentum=non&justo=mattis&nec=pulvinar&condimentum=nulla&neque=pede&sapien=ullamcorper&placerat=augue&ante=a&nulla=suscipit&justo=nulla&aliquam=elit&quis=ac&turpis=nulla&eget=sed&elit=vel&sodales=enim&scelerisque=sit&mauris=amet&sit=nunc&amet=viverra&eros=dapibus&suspendisse=nulla&accumsan=suscipit&tortor=ligula&quis=in,1352,913,2.29,0.64,12824,38377,24,24,2,11,2
Tabor College,Atlanta,Georgia,30323,https://parallels.com/pharetra/magna/ac.html?vestibulum=amet&ante=eros&ipsum=suspendisse&primis=accumsan&in=tortor&faucibus=quis&orci=turpis&luctus=sed&et=ante&ultrices=vivamus&posuere=tortor&cubilia=duis&curae=mattis&mauris=egestas&viverra=metus&diam=aenean&vitae=fermentum&quam=donec&suspendisse=ut&potenti=mauris&nullam=eget&porttitor=massa&lacus=tempor&at=convallis&turpis=nulla&donec=neque&posuere=libero&metus=convallis&vitae=eget&ipsum=eleifend&aliquam=luctus&non=ultricies&mauris=eu&morbi=nibh&non=quisque&lectus=id,748,815,3.69,3.73,13853,44326,25,23,6,10,4
Universidad San Francisco Xavier,Waterbury,Connecticut,06726,https://ca.gov/vel/enim/sit/amet/nunc/viverra.xml?sapien=eu&sapien=sapien&non=cursus&mi=vestibulum&integer=proin&ac=eu&neque=mi&duis=nulla&bibendum=ac&morbi=enim&non=in&quam=tempor&nec=turpis&dui=nec&luctus=euismod&rutrum=scelerisque&nulla=quam&tellus=turpis&in=adipiscing&sagittis=lorem&dui=vitae&vel=mattis&nisl=nibh&duis=ligula&ac=nec&nibh=sem&fusce=duis&lacus=aliquam&purus=convallis&aliquet=nunc&at=proin&feugiat=at&non=turpis&pretium=a&quis=pede&lectus=posuere&suspendisse=nonummy&potenti=integer&in=non&eleifend=velit&quam=donec&a=diam&odio=neque&in=vestibulum&hac=eget&habitasse=vulputate&platea=ut&dictumst=ultrices&maecenas=vel&ut=augue&massa=vestibulum&quis=ante&augue=ipsum&luctus=primis&tincidunt=in&nulla=faucibus&mollis=orci&molestie=luctus&lorem=et&quisque=ultrices&ut=posuere&erat=cubilia&curabitur=curae&gravida=donec&nisi=pharetra&at=magna&nibh=vestibulum&in=aliquet&hac=ultrices&habitasse=erat&platea=tortor&dictumst=sollicitudin&aliquam=mi&augue=sit&quam=amet&sollicitudin=lobortis&vitae=sapien&consectetuer=sapien&eget=non&rutrum=mi&at=integer&lorem=ac&integer=neque&tincidunt=duis&ante=bibendum&vel=morbi&ipsum=non&praesent=quam&blandit=nec&lacinia=dui&erat=luctus&vestibulum=rutrum&sed=nulla&magna=tellus&at=in&nunc=sagittis,610,1093,3.43,0.51,11887,35154,20,17,12,13,12
Ohka Gakuen University,Des Moines,Iowa,50315,https://mit.edu/in/hac/habitasse/platea.aspx?in=elementum&blandit=nullam&ultrices=varius&enim=nulla&lorem=facilisi&ipsum=cras&dolor=non&sit=velit&amet=nec&consectetuer=nisi&adipiscing=vulputate&elit=nonummy&proin=maecenas&interdum=tincidunt&mauris=lacus&non=at&ligula=velit&pellentesque=vivamus&ultrices=vel&phasellus=nulla&id=eget&sapien=eros&in=elementum&sapien=pellentesque&iaculis=quisque&congue=porta&vivamus=volutpat&metus=erat&arcu=quisque&adipiscing=erat&molestie=eros&hendrerit=viverra&at=eget&vulputate=congue&vitae=eget&nisl=semper&aenean=rutrum&lectus=nulla&pellentesque=nunc&eget=purus&nunc=phasellus&donec=in&quis=felis&orci=donec&eget=semper&orci=sapien&vehicula=a&condimentum=libero&curabitur=nam&in=dui&libero=proin&ut=leo&massa=odio&volutpat=porttitor&convallis=id&morbi=consequat&odio=in&odio=consequat&elementum=ut&eu=nulla&interdum=sed&eu=accumsan&tincidunt=felis&in=ut&leo=at&maecenas=dolor&pulvinar=quis&lobortis=odio&est=consequat&phasellus=varius,1110,1466,2.48,3.93,40276,67612,26,31,8,18,11
University of Nova Gorica,Fort Worth,Texas,76192,http://virginia.edu/integer/pede/justo/lacinia/eget/tincidunt.json?eget=et&congue=ultrices&eget=posuere&semper=cubilia&rutrum=curae&nulla=mauris&nunc=viverra&purus=diam&phasellus=vitae,1069,1032,3.59,1.47,12308,74802,35,16,16,14,2
Al-Farabi Kazakh National University,San Francisco,California,94105,https://adobe.com/suscipit/ligula/in.xml?ac=sit&nibh=amet&fusce=cursus&lacus=id&purus=turpis&aliquet=integer&at=aliquet&feugiat=massa&non=id&pretium=lobortis&quis=convallis&lectus=tortor&suspendisse=risus&potenti=dapibus&in=augue&eleifend=vel&quam=accumsan&a=tellus&odio=nisi&in=eu&hac=orci&habitasse=mauris&platea=lacinia&dictumst=sapien&maecenas=quis&ut=libero&massa=nullam&quis=sit&augue=amet&luctus=turpis&tincidunt=elementum&nulla=ligula&mollis=vehicula&molestie=consequat&lorem=morbi&quisque=a&ut=ipsum&erat=integer&curabitur=a&gravida=nibh&nisi=in&at=quis&nibh=justo&in=maecenas&hac=rhoncus&habitasse=aliquam&platea=lacus&dictumst=morbi&aliquam=quis&augue=tortor&quam=id&sollicitudin=nulla&vitae=ultrices&consectetuer=aliquet&eget=maecenas&rutrum=leo&at=odio&lorem=condimentum&integer=id&tincidunt=luctus&ante=nec&vel=molestie&ipsum=sed&praesent=justo&blandit=pellentesque&lacinia=viverra&erat=pede&vestibulum=ac&sed=diam,1303,1567,1.89,3.95,15083,76523,10,21,17,16,14
Cagayan State University,Louisville,Kentucky,40266,https://ow.ly/amet/diam.html?turpis=eleifend&adipiscing=donec&lorem=ut&vitae=dolor&mattis=morbi&nibh=vel&ligula=lectus&nec=in&sem=quam&duis=fringilla&aliquam=rhoncus&convallis=mauris&nunc=enim&proin=leo&at=rhoncus&turpis=sed&a=vestibulum&pede=sit&posuere=amet&nonummy=cursus&integer=id&non=turpis&velit=integer&donec=aliquet&diam=massa&neque=id&vestibulum=lobortis&eget=convallis&vulputate=tortor&ut=risus&ultrices=dapibus&vel=augue&augue=vel&vestibulum=accumsan&ante=tellus&ipsum=nisi&primis=eu&in=orci&faucibus=mauris&orci=lacinia&luctus=sapien,1524,1497,3.04,1.05,24577,60458,27,17,19,17,10
Universität Leipzig,Huntington,West Virginia,25709,https://cbsnews.com/magna/bibendum/imperdiet/nullam/orci/pede/venenatis.json?magna=sed&bibendum=tincidunt&imperdiet=eu&nullam=felis&orci=fusce&pede=posuere&venenatis=felis&non=sed&sodales=lacus&sed=morbi&tincidunt=sem&eu=mauris&felis=laoreet&fusce=ut&posuere=rhoncus&felis=aliquet&sed=pulvinar&lacus=sed&morbi=nisl&sem=nunc&mauris=rhoncus&laoreet=dui&ut=vel&rhoncus=sem&aliquet=sed&pulvinar=sagittis&sed=nam&nisl=congue&nunc=risus&rhoncus=semper&dui=porta&vel=volutpat&sem=quam&sed=pede&sagittis=lobortis&nam=ligula&congue=sit&risus=amet&semper=eleifend&porta=pede&volutpat=libero&quam=quis&pede=orci&lobortis=nullam&ligula=molestie&sit=nibh&amet=in&eleifend=lectus&pede=pellentesque&libero=at&quis=nulla,1472,1157,3.91,1.79,32171,28163,20,19,14,1,4
Wright State University,Columbus,Ohio,43220,http://dell.com/est/congue/elementum/in/hac/habitasse.jpg?vel=nulla&sem=justo&sed=aliquam&sagittis=quis&nam=turpis&congue=eget&risus=elit&semper=sodales&porta=scelerisque&volutpat=mauris&quam=sit&pede=amet&lobortis=eros&ligula=suspendisse&sit=accumsan&amet=tortor&eleifend=quis&pede=turpis&libero=sed&quis=ante&orci=vivamus&nullam=tortor&molestie=duis&nibh=mattis&in=egestas&lectus=metus&pellentesque=aenean&at=fermentum&nulla=donec&suspendisse=ut&potenti=mauris&cras=eget&in=massa&purus=tempor&eu=convallis&magna=nulla&vulputate=neque&luctus=libero&cum=convallis&sociis=eget&natoque=eleifend&penatibus=luctus&et=ultricies&magnis=eu&dis=nibh&parturient=quisque&montes=id&nascetur=justo&ridiculus=sit&mus=amet&vivamus=sapien&vestibulum=dignissim&sagittis=vestibulum&sapien=vestibulum&cum=ante&sociis=ipsum&natoque=primis&penatibus=in&et=faucibus&magnis=orci&dis=luctus&parturient=et&montes=ultrices&nascetur=posuere&ridiculus=cubilia&mus=curae&etiam=nulla&vel=dapibus&augue=dolor&vestibulum=vel&rutrum=est&rutrum=donec&neque=odio&aenean=justo&auctor=sollicitudin&gravida=ut&sem=suscipit&praesent=a&id=feugiat&massa=et&id=eros&nisl=vestibulum&venenatis=ac&lacinia=est&aenean=lacinia&sit=nisi&amet=venenatis&justo=tristique&morbi=fusce&ut=congue&odio=diam&cras=id&mi=ornare&pede=imperdiet&malesuada=sapien&in=urna&imperdiet=pretium,1475,1518,3.8,0.61,33461,34163,18,22,20,2,13
Pennsylvania Institute of Technology,Huntington Beach,California,92648,http://hugedomains.com/turpis.jsp?dui=elit&vel=sodales&nisl=scelerisque&duis=mauris&ac=sit&nibh=amet&fusce=eros&lacus=suspendisse&purus=accumsan&aliquet=tortor&at=quis&feugiat=turpis&non=sed&pretium=ante&quis=vivamus&lectus=tortor&suspendisse=duis&potenti=mattis&in=egestas&eleifend=metus&quam=aenean&a=fermentum&odio=donec&in=ut&hac=mauris&habitasse=eget&platea=massa&dictumst=tempor&maecenas=convallis&ut=nulla&massa=neque&quis=libero&augue=convallis&luctus=eget&tincidunt=eleifend&nulla=luctus&mollis=ultricies&molestie=eu&lorem=nibh&quisque=quisque&ut=id&erat=justo&curabitur=sit&gravida=amet&nisi=sapien&at=dignissim&nibh=vestibulum&in=vestibulum&hac=ante&habitasse=ipsum&platea=primis&dictumst=in&aliquam=faucibus&augue=orci&quam=luctus&sollicitudin=et&vitae=ultrices&consectetuer=posuere&eget=cubilia&rutrum=curae&at=nulla&lorem=dapibus&integer=dolor&tincidunt=vel&ante=est&vel=donec&ipsum=odio&praesent=justo&blandit=sollicitudin&lacinia=ut&erat=suscipit&vestibulum=a&sed=feugiat&magna=et&at=eros&nunc=vestibulum&commodo=ac&placerat=est&praesent=lacinia&blandit=nisi&nam=venenatis&nulla=tristique&integer=fusce&pede=congue,834,1009,2.84,3.64,36545,54642,32,13,2,9,15
Universidad Católica Popular del Risaralda,Huntsville,Alabama,35895,http://japanpost.jp/a/feugiat/et/eros/vestibulum/ac/est.png?augue=pellentesque&aliquam=quisque&erat=porta&volutpat=volutpat&in=erat&congue=quisque&etiam=erat&justo=eros&etiam=viverra&pretium=eget&iaculis=congue&justo=eget&in=semper&hac=rutrum&habitasse=nulla&platea=nunc&dictumst=purus&etiam=phasellus&faucibus=in&cursus=felis&urna=donec&ut=semper&tellus=sapien&nulla=a&ut=libero&erat=nam&id=dui&mauris=proin&vulputate=leo&elementum=odio&nullam=porttitor&varius=id&nulla=consequat&facilisi=in&cras=consequat&non=ut&velit=nulla&nec=sed,617,843,1.32,1.15,25962,72118,13,33,17,3,2
Kurgan International University,Shreveport,Louisiana,71130,http://google.ca/nulla/integer/pede/justo/lacinia.jpg?rhoncus=phasellus&mauris=in&enim=felis&leo=donec&rhoncus=semper&sed=sapien&vestibulum=a&sit=libero&amet=nam&cursus=dui&id=proin&turpis=leo&integer=odio&aliquet=porttitor&massa=id&id=consequat&lobortis=in&convallis=consequat&tortor=ut&risus=nulla&dapibus=sed&augue=accumsan&vel=felis&accumsan=ut&tellus=at&nisi=dolor&eu=quis&orci=odio&mauris=consequat&lacinia=varius&sapien=integer&quis=ac&libero=leo&nullam=pellentesque&sit=ultrices&amet=mattis&turpis=odio&elementum=donec&ligula=vitae&vehicula=nisi&consequat=nam&morbi=ultrices&a=libero&ipsum=non&integer=mattis&a=pulvinar&nibh=nulla&in=pede&quis=ullamcorper&justo=augue&maecenas=a&rhoncus=suscipit&aliquam=nulla&lacus=elit&morbi=ac&quis=nulla&tortor=sed&id=vel&nulla=enim&ultrices=sit&aliquet=amet&maecenas=nunc&leo=viverra&odio=dapibus&condimentum=nulla&id=suscipit&luctus=ligula&nec=in&molestie=lacus&sed=curabitur&justo=at&pellentesque=ipsum&viverra=ac&pede=tellus&ac=semper&diam=interdum&cras=mauris&pellentesque=ullamcorper&volutpat=purus&dui=sit&maecenas=amet&tristique=nulla,633,1189,1.71,0.86,17919,29829,29,21,16,12,2
Sultan Ahmad Shah Islamic College,Houston,Texas,77276,https://blogger.com/integer/non/velit.aspx?hac=pellentesque&habitasse=eget&platea=nunc&dictumst=donec&aliquam=quis&augue=orci&quam=eget&sollicitudin=orci&vitae=vehicula&consectetuer=condimentum&eget=curabitur&rutrum=in&at=libero&lorem=ut&integer=massa&tincidunt=volutpat&ante=convallis&vel=morbi&ipsum=odio&praesent=odio&blandit=elementum&lacinia=eu&erat=interdum&vestibulum=eu&sed=tincidunt&magna=in&at=leo&nunc=maecenas&commodo=pulvinar&placerat=lobortis&praesent=est&blandit=phasellus&nam=sit&nulla=amet&integer=erat&pede=nulla&justo=tempus&lacinia=vivamus&eget=in&tincidunt=felis&eget=eu&tempus=sapien&vel=cursus&pede=vestibulum&morbi=proin&porttitor=eu&lorem=mi&id=nulla&ligula=ac&suspendisse=enim&ornare=in&consequat=tempor&lectus=turpis&in=nec&est=euismod&risus=scelerisque&auctor=quam&sed=turpis&tristique=adipiscing&in=lorem&tempus=vitae&sit=mattis&amet=nibh&sem=ligula&fusce=nec&consequat=sem&nulla=duis&nisl=aliquam&nunc=convallis&nisl=nunc&duis=proin&bibendum=at&felis=turpis&sed=a&interdum=pede&venenatis=posuere&turpis=nonummy&enim=integer&blandit=non&mi=velit&in=donec&porttitor=diam&pede=neque&justo=vestibulum&eu=eget&massa=vulputate&donec=ut&dapibus=ultrices&duis=vel&at=augue&velit=vestibulum&eu=ante&est=ipsum&congue=primis&elementum=in&in=faucibus&hac=orci&habitasse=luctus&platea=et,1361,926,2.9,3.75,33047,34374,15,30,16,14,10
Dilla University,Richmond,Virginia,23272,http://tamu.edu/nisl.jpg?libero=nulla&non=nunc&mattis=purus&pulvinar=phasellus&nulla=in&pede=felis&ullamcorper=donec&augue=semper&a=sapien&suscipit=a&nulla=libero&elit=nam&ac=dui&nulla=proin&sed=leo&vel=odio&enim=porttitor&sit=id&amet=consequat&nunc=in&viverra=consequat&dapibus=ut&nulla=nulla&suscipit=sed&ligula=accumsan&in=felis,1129,922,2.66,2.86,11406,25883,22,16,11,8,0
Northern Alberta Institute of Technology,Kalamazoo,Michigan,49048,https://nasa.gov/nisi/venenatis/tristique.js?orci=posuere&pede=felis&venenatis=sed&non=lacus&sodales=morbi&sed=sem&tincidunt=mauris&eu=laoreet&felis=ut&fusce=rhoncus&posuere=aliquet&felis=pulvinar&sed=sed&lacus=nisl&morbi=nunc&sem=rhoncus&mauris=dui&laoreet=vel&ut=sem&rhoncus=sed&aliquet=sagittis&pulvinar=nam&sed=congue&nisl=risus&nunc=semper&rhoncus=porta&dui=volutpat&vel=quam&sem=pede&sed=lobortis&sagittis=ligula&nam=sit&congue=amet&risus=eleifend&semper=pede&porta=libero&volutpat=quis&quam=orci&pede=nullam&lobortis=molestie&ligula=nibh&sit=in&amet=lectus&eleifend=pellentesque&pede=at&libero=nulla&quis=suspendisse&orci=potenti&nullam=cras&molestie=in&nibh=purus&in=eu&lectus=magna&pellentesque=vulputate&at=luctus&nulla=cum&suspendisse=sociis&potenti=natoque&cras=penatibus&in=et&purus=magnis&eu=dis&magna=parturient&vulputate=montes&luctus=nascetur&cum=ridiculus&sociis=mus&natoque=vivamus&penatibus=vestibulum&et=sagittis&magnis=sapien&dis=cum&parturient=sociis&montes=natoque&nascetur=penatibus&ridiculus=et&mus=magnis&vivamus=dis&vestibulum=parturient&sagittis=montes&sapien=nascetur&cum=ridiculus&sociis=mus&natoque=etiam&penatibus=vel&et=augue&magnis=vestibulum&dis=rutrum&parturient=rutrum&montes=neque&nascetur=aenean&ridiculus=auctor&mus=gravida&etiam=sem&vel=praesent&augue=id&vestibulum=massa&rutrum=id&rutrum=nisl,1110,811,2.45,0.55,13666,48339,34,24,18,12,7
University of Venda,Las Vegas,Nevada,89178,http://xrea.com/porta.jpg?tempus=bibendum&vel=felis&pede=sed&morbi=interdum&porttitor=venenatis&lorem=turpis&id=enim&ligula=blandit&suspendisse=mi&ornare=in&consequat=porttitor&lectus=pede&in=justo&est=eu&risus=massa&auctor=donec&sed=dapibus&tristique=duis&in=at&tempus=velit&sit=eu&amet=est&sem=congue&fusce=elementum&consequat=in&nulla=hac&nisl=habitasse&nunc=platea&nisl=dictumst&duis=morbi&bibendum=vestibulum&felis=velit&sed=id&interdum=pretium&venenatis=iaculis&turpis=diam&enim=erat&blandit=fermentum&mi=justo&in=nec&porttitor=condimentum&pede=neque,1475,1522,1.78,3.35,31194,44204,33,24,9,5,3
Technische Universität Chemnitz,Fort Lauderdale,Florida,33325,https://engadget.com/feugiat/et/eros/vestibulum/ac.xml?donec=mus&quis=etiam&orci=vel&eget=augue&orci=vestibulum&vehicula=rutrum&condimentum=rutrum&curabitur=neque&in=aenean&libero=auctor&ut=gravida&massa=sem&volutpat=praesent&convallis=id&morbi=massa&odio=id&odio=nisl&elementum=venenatis&eu=lacinia&interdum=aenean&eu=sit&tincidunt=amet&in=justo&leo=morbi&maecenas=ut&pulvinar=odio&lobortis=cras&est=mi&phasellus=pede&sit=malesuada&amet=in&erat=imperdiet&nulla=et&tempus=commodo&vivamus=vulputate&in=justo&felis=in&eu=blandit&sapien=ultrices&cursus=enim&vestibulum=lorem&proin=ipsum&eu=dolor&mi=sit&nulla=amet&ac=consectetuer&enim=adipiscing&in=elit&tempor=proin&turpis=interdum&nec=mauris&euismod=non&scelerisque=ligula&quam=pellentesque&turpis=ultrices&adipiscing=phasellus&lorem=id&vitae=sapien&mattis=in&nibh=sapien&ligula=iaculis&nec=congue&sem=vivamus&duis=metus&aliquam=arcu&convallis=adipiscing&nunc=molestie&proin=hendrerit&at=at&turpis=vulputate&a=vitae&pede=nisl&posuere=aenean&nonummy=lectus&integer=pellentesque&non=eget&velit=nunc&donec=donec&diam=quis&neque=orci&vestibulum=eget&eget=orci&vulputate=vehicula&ut=condimentum&ultrices=curabitur&vel=in&augue=libero,1590,1181,3.24,2.28,25445,53895,33,14,3,10,12
Augsburg College,Peoria,Arizona,85383,http://aol.com/elit/proin/risus.png?nisi=nunc&at=purus&nibh=phasellus&in=in&hac=felis&habitasse=donec&platea=semper&dictumst=sapien&aliquam=a&augue=libero&quam=nam&sollicitudin=dui&vitae=proin&consectetuer=leo&eget=odio&rutrum=porttitor&at=id&lorem=consequat&integer=in&tincidunt=consequat&ante=ut&vel=nulla&ipsum=sed&praesent=accumsan&blandit=felis&lacinia=ut&erat=at&vestibulum=dolor&sed=quis&magna=odio&at=consequat&nunc=varius&commodo=integer&placerat=ac&praesent=leo&blandit=pellentesque&nam=ultrices&nulla=mattis&integer=odio&pede=donec&justo=vitae&lacinia=nisi&eget=nam&tincidunt=ultrices&eget=libero&tempus=non&vel=mattis&pede=pulvinar&morbi=nulla&porttitor=pede&lorem=ullamcorper&id=augue&ligula=a&suspendisse=suscipit&ornare=nulla&consequat=elit&lectus=ac&in=nulla&est=sed&risus=vel&auctor=enim&sed=sit&tristique=amet&in=nunc&tempus=viverra&sit=dapibus,953,801,0.73,1.67,39504,34360,21,31,0,15,14
Al-Ahliyya Amman University,New York City,New York,10270,https://tripadvisor.com/nisl/duis.png?non=lacinia&quam=eget&nec=tincidunt&dui=eget&luctus=tempus&rutrum=vel&nulla=pede&tellus=morbi&in=porttitor&sagittis=lorem&dui=id&vel=ligula&nisl=suspendisse&duis=ornare&ac=consequat&nibh=lectus&fusce=in&lacus=est&purus=risus&aliquet=auctor&at=sed&feugiat=tristique&non=in&pretium=tempus&quis=sit&lectus=amet&suspendisse=sem&potenti=fusce&in=consequat&eleifend=nulla&quam=nisl&a=nunc&odio=nisl&in=duis&hac=bibendum&habitasse=felis&platea=sed&dictumst=interdum&maecenas=venenatis&ut=turpis&massa=enim&quis=blandit&augue=mi&luctus=in&tincidunt=porttitor&nulla=pede&mollis=justo&molestie=eu&lorem=massa&quisque=donec&ut=dapibus&erat=duis&curabitur=at&gravida=velit&nisi=eu&at=est&nibh=congue&in=elementum&hac=in&habitasse=hac&platea=habitasse&dictumst=platea&aliquam=dictumst&augue=morbi&quam=vestibulum&sollicitudin=velit&vitae=id&consectetuer=pretium&eget=iaculis&rutrum=diam&at=erat&lorem=fermentum&integer=justo&tincidunt=nec&ante=condimentum&vel=neque&ipsum=sapien&praesent=placerat&blandit=ante&lacinia=nulla&erat=justo&vestibulum=aliquam&sed=quis&magna=turpis&at=eget&nunc=elit&commodo=sodales&placerat=scelerisque&praesent=mauris&blandit=sit&nam=amet&nulla=eros,1201,1351,1.1,2.86,20153,53536,17,27,9,2,0
Károl Gáspár University of the Reformed Church,Tampa,Florida,33615,http://smh.com.au/lectus/aliquam/sit/amet/diam/in/magna.aspx?commodo=odio&vulputate=cras&justo=mi&in=pede&blandit=malesuada&ultrices=in&enim=imperdiet&lorem=et&ipsum=commodo&dolor=vulputate&sit=justo&amet=in&consectetuer=blandit&adipiscing=ultrices&elit=enim&proin=lorem&interdum=ipsum&mauris=dolor&non=sit&ligula=amet&pellentesque=consectetuer&ultrices=adipiscing&phasellus=elit&id=proin&sapien=interdum&in=mauris&sapien=non&iaculis=ligula&congue=pellentesque&vivamus=ultrices&metus=phasellus&arcu=id&adipiscing=sapien&molestie=in&hendrerit=sapien&at=iaculis&vulputate=congue&vitae=vivamus&nisl=metus&aenean=arcu&lectus=adipiscing&pellentesque=molestie&eget=hendrerit&nunc=at&donec=vulputate&quis=vitae&orci=nisl&eget=aenean&orci=lectus&vehicula=pellentesque&condimentum=eget&curabitur=nunc&in=donec&libero=quis&ut=orci&massa=eget&volutpat=orci&convallis=vehicula&morbi=condimentum&odio=curabitur&odio=in&elementum=libero&eu=ut&interdum=massa&eu=volutpat&tincidunt=convallis&in=morbi&leo=odio&maecenas=odio&pulvinar=elementum,1279,644,2.06,3.77,35032,35110,32,16,2,8,15
Clarion University,Berkeley,California,94712,http://spiegel.de/felis/eu/sapien/cursus/vestibulum.jsp?turpis=eleifend&eget=luctus&elit=ultricies&sodales=eu&scelerisque=nibh&mauris=quisque&sit=id&amet=justo&eros=sit&suspendisse=amet&accumsan=sapien&tortor=dignissim&quis=vestibulum&turpis=vestibulum&sed=ante&ante=ipsum&vivamus=primis&tortor=in&duis=faucibus&mattis=orci&egestas=luctus&metus=et&aenean=ultrices&fermentum=posuere&donec=cubilia&ut=curae&mauris=nulla&eget=dapibus&massa=dolor&tempor=vel&convallis=est&nulla=donec&neque=odio&libero=justo&convallis=sollicitudin&eget=ut&eleifend=suscipit&luctus=a&ultricies=feugiat&eu=et&nibh=eros&quisque=vestibulum&id=ac&justo=est&sit=lacinia&amet=nisi&sapien=venenatis&dignissim=tristique&vestibulum=fusce&vestibulum=congue&ante=diam&ipsum=id&primis=ornare&in=imperdiet&faucibus=sapien&orci=urna&luctus=pretium&et=nisl&ultrices=ut&posuere=volutpat&cubilia=sapien&curae=arcu,1050,1399,2.82,1.93,30610,61157,10,28,15,18,0
Université de Liège,Kansas City,Missouri,64193,https://liveinternet.ru/ullamcorper/augue.json?aliquet=erat&maecenas=nulla&leo=tempus&odio=vivamus&condimentum=in&id=felis&luctus=eu&nec=sapien&molestie=cursus&sed=vestibulum&justo=proin&pellentesque=eu&viverra=mi&pede=nulla,718,1317,2.49,3.68,13377,35157,25,31,18,11,9
Taiz University,Houston,Texas,77234,http://slate.com/curae/donec.js?tincidunt=eget&lacus=nunc&at=donec&velit=quis&vivamus=orci&vel=eget&nulla=orci&eget=vehicula&eros=condimentum&elementum=curabitur&pellentesque=in&quisque=libero&porta=ut&volutpat=massa&erat=volutpat&quisque=convallis&erat=morbi&eros=odio&viverra=odio&eget=elementum&congue=eu&eget=interdum&semper=eu&rutrum=tincidunt&nulla=in&nunc=leo&purus=maecenas&phasellus=pulvinar&in=lobortis,1440,1445,2.0,1.73,28856,61922,12,30,0,1,0
